fuente,codigo,producto,familia,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,posicion,abs
DAYCO,KTB286/4,Kit de distribución,KIT DISTRIBUCION,,,,,https://webcateu.dayco.ws/img/products/KTB286/4.jpg,https://www.dayco.com/la-es/catalog/?search=KTB286/4,Principal,TIMING BELT KIT,,,
DAYCO,1169,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/1169.jpg,https://www.dayco.com/la-es/catalog/?search=1169,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,1177,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/1177.jpg,https://www.dayco.com/la-es/catalog/?search=1177,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,117SP+220H,Correa de distribución,CORREA DE DISTRIBUCIÓN,,,1004297 (FORD) | 1004299 (FORD) | 1823388 (FORD) | 1E0512205 (MAZDA) | 1E0612205 (MAZDA) | 274562 (VOLVO) | 30711607 (VOLVO) | 30750903 (VOLVO) | 31330351 (VOLVO) | 96MM6K288A1A (FORD) | 96MM6K288A1A (MAZDA) | 96MM6K288A2A (FORD) | C20112201 (MAZDA) | C20112201A (MAZDA),,https://webcateu.dayco.ws/img/products/TB.jpg,https://www.dayco.com/la-es/catalog/?search=117SP+220H,Principal,TIMING BELT,,,
DAYCO,6PK1180,Correa Poly-V,CORREA POLY-V,,,0099974092 (MERCEDES-BENZ) | 028260849A (AUDI) | 028260849F (AUDI) | 028260849F (VOLKSWAGEN) | 038903137AA (AUDI) | 038903137AA (SEAT) | 038903137AA (SKODA) | 038903137AA (VOLKSWAGEN) | 038903137L (AUDI) | 038903137L (SEAT) | 038903137L (SKODA) | 038903137L (VOLKSWAGEN) | 03890313AA (SKODA) | 1004484 (FORD) | 11281470027 (BMW) | 11281747277 (BMW) | 11287636368 (BMW) | 12578000 (CADILLAC) | 12578002 (CADILLAC) | 1539603 (FORD) | 17521-85E00 (SUBARU) | 1752185E00 (SUZUKI) | 1E0518381 (MAZDA) | 3101314 (CUMMINS) | 31430015 (VOLVO) | 3470280 (VOLVO) | 4206K1173P4 (RENAULT) | 46820062 (FIAT) | 46820062 (LANCIA) | 55185077 (ALFA ROMEO) | 55185077 (FIAT) | 55185077 (GENERAL MOTORS) | 55185077 (OPEL) | 55185077 (VAUXHALL) | 55205286 (FIAT) | 5750.VR (PEUGEOT) | 5750GG (PEUGEOT) | 5750GH (CITROEN) | 5750GH (PEUGEOT) | 5750VR (CITROEN) | 6340615 (GENERAL MOTORS) | 6340615 (OPEL) | 6340615 (VAUXHALL) | 6H903137J (VOLKSWAGEN) | 7700729751 (RENAULT) | 7700743549 (RENAULT) | 90048-31088 (DAIHATSU) | 9004831070 (DAIHATSU) | 9642430680 (FIAT) | 9642430680 (PEUGEOT) | 9642430780 (PEUGEOT) | 9652746480 (FIAT) | 98MF6C301AC (FORD) | 9S518620CA (FORD) | A0099974092 (MERCEDES-BENZ) | GMB61180 (ROVER) | GMB61185 (LAND ROVER) | GMB61185 (ROVER),,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1180,Auxiliar,POLY-V,,,
DAYCO,6PK1755,Correa Poly-V,CORREA POLY-V,,,7310606 (FIAT) | 7310608 (FORD) | 91829229 (VOLVO) | 9458411 (VOLVO) | 95WF6C301BA (FORD),,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1755,Auxiliar,POLY-V,,,
DAYCO,6PK1930,Correa Poly-V,CORREA POLY-V,,,0089976492 (MERCEDES-BENZ) | 06C903137C (AUDI) | 1004486 (FORD) | 1036916 (FORD) | 1041194 (FORD) | 1094675 (FORD) | 1E0515909 (MAZDA) | 4892520AA (JEEP) | 4892520AB (JEEP) | 5340948 (SAAB) | 7064727 (FORD) | 9008091168 (TOYOTA) | 9091602412 (LEXUS) | 9091602412 (TOYOTA) | 9091602548 (TOYOTA) | 94WF6C301D1B (FORD) | 96MF6C301CC (FORD) | 96MF6C301CC (MAZDA) | 99366D1930 (LEXUS) | 99366D1930 (TOYOTA) | 99610215165 (PORSCHE) | A0089976492 (MERCEDES-BENZ) | GX73-8620 (LAND ROVER) | LR079263 (LAND ROVER) | V97MF6C301BA (FORD),,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1930,Auxiliar,POLY-V,,,
DAYCO,7725,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/7725.jpg,https://www.dayco.com/la-es/catalog/?search=7725,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,7827,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/7827.jpg,https://www.dayco.com/la-es/catalog/?search=7827,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,7830,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/7830.jpg,https://www.dayco.com/la-es/catalog/?search=7830,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,APV2070,Tensor auxiliar,TENSOR,,,1004475 (FORD) | 1077689 (FORD) | 1E0515980 (MAZDA) | 1E0515980A (MAZDA) | 96M6FA228AC (FORD) | 96MF-6A228-AD (FORD) | 96MF6A228AC (FORD) | 96MF6A228AD (FORD),,https://webcateu.dayco.ws/img/products/APV2070.jpg,https://www.dayco.com/la-es/catalog/?search=APV2070,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,APV2815,Tensor auxiliar,TENSOR,,,1072321 (FORD) | 1112807 (FORD) | 1139951 (FORD) | 1763647 (FORD) | 1E03-15-930A (MAZDA) | 7109163 (FORD) | 95WF19A216AC (FORD) | 95WF19A216AD (FORD) | GTA0110 (GMB) | YS4E-19A216-AB (FORD) | YS4E19A216AA (FORD) | YS4E19A216AB (FORD),,https://webcateu.dayco.ws/img/products/APV2815.jpg,https://www.dayco.com/la-es/catalog/?search=APV2815,Auxiliar,TENSIONER&PULLEY,,,
