codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RCC2,RODAMIENTO,DACIA,1410,90>,Pieza: RUEDA | Posición: DEL | Lado: INT/EXT | Ø int: 35 | Ø ext: 72 | Alt: 17 | ABS: NO,6207 ANB12 | 6207 N/VP089 | 4RR6207NV,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,INT/EXT,35,72,17,35,72,17,NO
RCC2648,RODAMIENTO,DACIA,1410,90>,Pieza: CONO/CUBETA | Posición: TRAS | Lado: EXT | Ø int: 20 | Ø ext: 47 | Alt: 15.25 | ABS: NO,30204 | 30204 J2/Q | 4RR30204 | 30204M,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,20,47,15.25,20,47,15,NO
RCC49,RODAMIENTO,DACIA,1410,90>,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT | Ø int: 25 | Ø ext: 52 | Alt: 16.25 | ABS: NO,30205 | 30205 J2/QV | 4RR30205 | 30205M,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,25,52,16.25,25,52,16,NO
RR50,RODAMIENTO,DAEWOO,ASTRA,95>98,Motor: 1.4 / 1.6 | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 39 | Ø ext: 72 | Alt: 37 | ABS: NO,F 110622 | BAH-0036 | 4RR311396 | PW39720037CS | GB12776 | 542186CA | 513113,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,39,72,37,39,72,37,NO
RR02,RODAMIENTO,DAEWOO,CIELO,94>01,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 34 | Ø ext: 66 | Alt: 37 | ABS: NO,F 110487 | BAHB 636114 A | 4RR636114 | PW34660037CS | R153.25 | 713664150,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,34,66,37,34,66,37,NO
RCC2631,RODAMIENTO,DAEWOO,CIELO,94>01,Pieza: CONO/CUBETA | Posición: TRAS | Lado: EXT | Ø int: 17.462 | Ø ext: 39.878 | Alt: 13.843 | ABS: NO,11749/710 | LM 11749/710 | 4RR1749 | L11749/10 | SET 1,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,17.462,39.878,13.843,17,39,13,NO
RCC53,RODAMIENTO,DAEWOO,CIELO,94>01,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT | Ø int: 29 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,45449/410 | L 45449/410/Q | 4RR45449410 | L45449/10 | 518772A | SET 8,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,29,50.292,14.224,29,50,14,NO
RR13,RODAMIENTO,DAEWOO,CIELO,94>99,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 34 | Ø ext: 64 | Alt: 37 | ABS: NO,309726 | BAH-0092 | PW34640037CS | 803647.02 | GB10884 | 713691010 | SET 35,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,34,64,37,34,64,37,NO
RCC2631,RODAMIENTO,DAEWOO,ESPERO,92>99,Pieza: CONO/CUBETA | Posición: TRAS | Lado: EXT | Ø int: 17.462 | Ø ext: 39.878 | Alt: 13.843 | ABS: NO,11749/710 | LM 11749/710 | 4RR1749 | L11749/10 | SET 1,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,17.462,39.878,13.843,17,39,13,NO
RCC53,RODAMIENTO,DAEWOO,ESPERO,92>99,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT | Ø int: 29 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,45449/410 | L 45449/410/Q | 4RR45449410 | L45449/10 | 518772A | SET 8,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,29,50.292,14.224,29,50,14,NO
RR50,RODAMIENTO,DAEWOO,IPANEMA,89>98,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 39 | Ø ext: 72 | Alt: 37 | ABS: NO,F 110622 | BAH-0036 | 4RR311396 | PW39720037CS | GB12776 | 542186CA | 513113,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,39,72,37,39,72,37,NO
RR50,RODAMIENTO,DAEWOO,KADETT,89>98,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 39 | Ø ext: 72 | Alt: 37 | ABS: NO,F 110622 | BAH-0036 | 4RR311396 | PW39720037CS | GB12776 | 542186CA | 513113,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,39,72,37,39,72,37,NO
RCC2631,RODAMIENTO,DAEWOO,LANOS,97>03,Pieza: CONO/CUBETA | Posición: TRAS | Lado: EXT | Ø int: 17.462 | Ø ext: 39.878 | Alt: 13.843 | ABS: NO,11749/710 | LM 11749/710 | 4RR1749 | L11749/10 | SET 1,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,17.462,39.878,13.843,17,39,13,NO
RCC53,RODAMIENTO,DAEWOO,LANOS,97>03,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT | Ø int: 29 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,45449/410 | L 45449/410/Q | 4RR45449410 | L45449/10 | 518772A | SET 8,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,29,50.292,14.224,29,50,14,NO
