codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
10035,FUELLE,CITROËN / FIAT / PEUGEOT,BOXER / DUCATO / JUMPER,96>,FUELLE TRANSMISIÓN CITROEN JUMPER (96…) / PEUGEOT BOXER (96…) / FIAT DUCATO (99...),9623535380,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10035-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigos-10035/,SERRAT,Código: 10035,TRANSMISIÓN,35,110,167,RUEDA,IZQ/DER,35 x 110 x 167
10036,FUELLE,CITROËN / FIAT / PEUGEOT,BOXER / DUCATO / JUMPER,96>,FUELLE TRANSMISIÓN CITROEN JUMPER (96…) / PEUGEOT BOXER (96…) / FIAT DUCATO (99...),1400223080 / 9564479588,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10036-2.jpg,https://serratsrl.com.ar/producto/codigos-10036/,SERRAT,Código: 10036,TRANSMISIÓN,33,86,88,CAJA,IZQ/DER,33 x 86 x 88
10037,FUELLE,VOLKSWAGEN,CROSSFOX / FOX / GOL / GOLF / POLO / SURAN / VIRTUS / VOYAGE,04>,FUELLE TRANSMISIÓN VW FOX-CROSSFOX (04…) - SURAN (04…) - GOL TREND (13…) - GOLF (00…) POLO 1.6 (17…) - VIRTUS 1.6 (17…) - VOYAGE (04…),1H040407283C,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10037-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10037/,SERRAT,Código: 10037,TRANSMISIÓN,33,86,88,CAJA,IZQ/DER,33 x 86 x 88
10039,FUELLE,TOYOTA,ETIOS,13>,FUELLE TRANSMISIÓN TOYOTA ETIOS (13…) - | (CON LOBULOS),044270D330,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10039-escala-reducida-1.jpg,https://serratsrl.com.ar/producto/codigos-10037-2/,SERRAT,Código: 10039,TRANSMISIÓN,20,72,92,CAJA,IZQ/DER,20 x 72 x 92
10040,FUELLE,RENAULT,4L / R4 / R6,61>84,FUELLE TRANSMISIÓN RENAULT R4 - 4L - R6 (61-84) | (CON CRUCETAS),7702027292,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10040-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10040/,SERRAT,Código: 10040,TRANSMISIÓN,70,70,90,RUEDA,,70 x 70 x 90
10041,FUELLE,CITROËN / PEUGEOT,206 / 307 / C3,99>13,FUELLE TRANSMISIÓN PEUGEOT 206 (99-13) - 307 (01-12) / CITROEN C3 (03…) - | (CON LOBULOS),3287A1,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10041-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10041/,SERRAT,Código: 10041,TRANSMISIÓN,33,70,98,CAJA,IZQ/DER,33 x 70 x 98
10042,FUELLE,HYUNDAI / RENAULT / TOYOTA / VOLKSWAGEN,HB20 / KWID / UP / YARIS,14>,FUELLE TRANSMISIÓN VOLKSWAGEN UP (14…) / HYUNDAI HB20 1.0 L/1.6 L (12…) / RENAULT KWID (18…) / TOYOTA YARIS (07…) - (TODOS LOS MODELOS),1SB498203,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10042-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10042/,SERRAT,Código: 10042,TRANSMISIÓN,21,71,94,RUEDA,IZQ/DER,21 x 71 x 94
10043,FUELLE,HYUNDAI,HB20,12>,"FUELLE TRANSMISIÓN HYUNDAI HB20 1,0L-1,6L (12...) - | (CON LOBULOS)",10267467,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10043-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10043/,SERRAT,Código: 10043,TRANSMISIÓN,21,56,98,CAJA,IZQ/DER,21 x 56 x 98
10044,FUELLE,TOYOTA / VOLKSWAGEN,UP / YARIS,14>,FUELLE TRANSMISIÓN VOLKSWAGEN UP (14…) - TOYOTA YARIS (07…) - | (CON LOBULOS),1SB498201,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10044-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10044/,SERRAT,Código: 10044,TRANSMISIÓN,23,73,90,CAJA,IZQ/DER,23 x 73 x 90
10045,FUELLE,FORD,ECOSPORT / FIESTA / FOCUS / S-MAX,06>15,FUELLE TRANSMISIÓN FORD FOCUS (12...) - FIESTAS (12…) - ECOSPORT (12…) - S MAX (06-15) - | (CON LOBULOS),XS4J4A084GC,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10045-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10045/,SERRAT,Código: 10045,TRANSMISIÓN,23,74,89,CAJA,IZQ/DER,23 x 74 x 89
