codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente
1200,BIELETA,CITROEN,ZX,,306/partner/citroen zx/berlingo/xsara picasso estab. del. | bieleta 306/partner/citroen zx/berlingo/xsara picasso estab. del.,508734,,508734,BIELETA | bieleta 306/partner/citroen zx/berlingo/xsara picasso estab. del.,https://www.tamarit.com.ar/image/productos/991200.jpg,https://www.tamarit.com.ar/image/productos/991200.jpg,VTH
2401,TOPE DE AMORTIGUADOR,CITROEN,ZX,1993 1994 1998,DEL | peugeot 205 / 306 / 405 1994/.. partner - citroen xsara 1998/.. - berlingo - zx 1993/.. | tope de amortiguador delantero peugeot 205 / 306 / 405 1994/.. partner - citroen xsara 1998/.. - berlingo - zx 1993/..,503326,,503326,TOPE DE AMORTIGUADOR | DEL | tope de amortiguador delantero peugeot 205 / 306 / 405 1994/.. partner - citroen xsara 1998/.. - berlingo - zx 1993/..,https://www.tamarit.com.ar/image/productos/992401.jpg,https://www.tamarit.com.ar/image/productos/992401.jpg,VTH
4015,CONJUNTO FUELLE Y TOPE,CITROEN,ZX,,DEL | peugeot 306 -partner / citroen xsara - zx - berlingo | conjunto fuelle y tope delantero peugeot 306 -partner / citroen xsara - zx - berlingo,7369,,7369,CONJUNTO FUELLE Y TOPE | DEL | conjunto fuelle y tope delantero peugeot 306 -partner / citroen xsara - zx - berlingo,https://www.tamarit.com.ar/image/productos/994015.jpg,https://www.tamarit.com.ar/image/productos/994015.jpg,VTH
5030,BUJE DE PARRILLA,CITROEN,ZX,,p-306/partner/zx/xsara/berlingo | buje parrilla p-306/partner/zx/xsara/berlingo,3523401,,3523401,BUJE DE PARRILLA | buje parrilla p-306/partner/zx/xsara/berlingo,https://www.tamarit.com.ar/image/productos/995030.jpg,https://www.tamarit.com.ar/image/productos/995030.jpg,VTH
7368,SOPORTE MOTOR,CITROEN,ZX,,hidraulico p-205/306/405/partner/xantia/za/xsara nafteros/berlingo c/tuercas | soporte motor hidraulico p-205/306/405/partner/xantia/za/xsara nafteros/berlingo c/tuercas,1844420,,1844420,SOPORTE MOTOR | soporte motor hidraulico p-205/306/405/partner/xantia/za/xsara nafteros/berlingo c/tuercas,https://www.tamarit.com.ar/image/productos/997368.jpg,https://www.tamarit.com.ar/image/productos/997368.jpg,VTH
7390,BUJE DE PARRILLA,CITROEN,ZX,,"buje soporte parrilla p-306/zx/xsara/ diam. 19,4 mm dorado p/eje de 19,6 mm | buje soporte parrilla p-306/zx/xsara/ diam. 19,4 mm dorado p/eje de 19,6 mm",3523541,,3523541,"BUJE DE PARRILLA | buje soporte parrilla p-306/zx/xsara/ diam. 19,4 mm dorado p/eje de 19,6 mm",https://www.tamarit.com.ar/image/productos/997390.jpg,https://www.tamarit.com.ar/image/productos/997390.jpg,VTH
7467,SOPORTE,CITROEN,ZX,,TRAS | eje izquierdo de 306 - citroen xsara - zx - picasso | soporte eje trasero izquierdo de 306 - citroen xsara - zx - picasso,513169,,513169,SOPORTE | TRAS | soporte eje trasero izquierdo de 306 - citroen xsara - zx - picasso,https://www.tamarit.com.ar/image/productos/997467.jpg,https://www.tamarit.com.ar/image/productos/997467.jpg,VTH
7468,SOPORTE,CITROEN,ZX,,TRAS | eje derecho de 306 - citroen xsara - zx - picasso | soporte eje trasero derecho de 306 - citroen xsara - zx - picasso,513170,,513170,SOPORTE | TRAS | soporte eje trasero derecho de 306 - citroen xsara - zx - picasso,https://www.tamarit.com.ar/image/productos/997468.jpg,https://www.tamarit.com.ar/image/productos/997468.jpg,VTH
9603,FUELLE,CITROEN,ZX,,trasmision lado caja peugeot berlingo/zx/xantia/xsara 206/306/405/406/605/806/expert/partner | fuelle trasmision lado caja peugeot berlingo/zx/xantia/xsara 206/306/405/406/605/806/expert/partner,328781,,328781,FUELLE | fuelle trasmision lado caja peugeot berlingo/zx/xantia/xsara 206/306/405/406/605/806/expert/partner,https://www.tamarit.com.ar/image/productos/999603.jpg,https://www.tamarit.com.ar/image/productos/999603.jpg,VTH
9606,FUELLE,CITROEN,ZX,,"semieje lado caja berlingo/xantia/zx/ducato - 106 , 205, 306, 405, 605, 806, boxer, partner | fuelle semieje lado caja berlingo/xantia/zx/ducato - 106 , 205, 306, 405, 605, 806, boxer, partner",328779,,328779,"FUELLE | fuelle semieje lado caja berlingo/xantia/zx/ducato - 106 , 205, 306, 405, 605, 806, boxer, partner",https://www.tamarit.com.ar/image/productos/999606.jpg,https://www.tamarit.com.ar/image/productos/999606.jpg,VTH
