codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente
7775,BUJE,,BUJE | buje cuadro de motor renault megane 2.- tiida,8200742906,,https://www.tamarit.com.ar/image/productos/997775.jpg,https://www.tamarit.com.ar/image/productos/997775.jpg,VTH
7776,SOPORTE,,SOPORTE | soporte inferior de motor logan-sandero-megane 2 -scenic 2.,8200575641,,https://www.tamarit.com.ar/image/productos/997776.jpg,https://www.tamarit.com.ar/image/productos/997776.jpg,VTH
7777,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estabilizadora delantera diam 18 mm renault duster / oroch / captur oem:546114237r,8200852550,,https://www.tamarit.com.ar/image/productos/997777.jpg,https://www.tamarit.com.ar/image/productos/997777.jpg,VTH
7778,BUJE DE PARRILLA,,BUJE DE PARRILLA | DEL | buje parrilla susp. delantera (parte anterior) renault fluence/megane-3,545600005B,,https://www.tamarit.com.ar/image/productos/997778.jpg,https://www.tamarit.com.ar/image/productos/997778.jpg,VTH
7779,BUJE DE PARRILLA,,BUJE DE PARRILLA | DEL | buje parrilla susp. delantera (parte (posterior) renault fluence/megane-3,545600004B,,https://www.tamarit.com.ar/image/productos/997779.jpg,https://www.tamarit.com.ar/image/productos/997779.jpg,VTH
7780,BUJE DE PARRILLA,,BUJE DE PARRILLA | DEL | buje parrilla delantera renault duster / oroch / logan-2 / captur / kangoo-2,545602788,,https://www.tamarit.com.ar/image/productos/997780.jpg,https://www.tamarit.com.ar/image/productos/997780.jpg,VTH
7781,SOPORTE,,SOPORTE | soporte central de motor kangoo 1.9,7700415088,,https://www.tamarit.com.ar/image/productos/997781.jpg,https://www.tamarit.com.ar/image/productos/997781.jpg,VTH
7782,SOPORTE,,SOPORTE | soporte central de motor clio 2 1.9,7700428936,,https://www.tamarit.com.ar/image/productos/997782.jpg,https://www.tamarit.com.ar/image/productos/997782.jpg,VTH
7783,SOPORTE,,SOPORTE | soporte inferior de motor megane 2 - scenic 2,8200042454,,https://www.tamarit.com.ar/image/productos/997783.jpg,https://www.tamarit.com.ar/image/productos/997783.jpg,VTH
7784,BUJE EJE TRASERO,,BUJE EJE TRASERO | TRAS | buje eje trasero renault logan / sandero / logan 2 / fluence / duster / oroch / logan-2 / captur - nissan tiida,8200287912,,https://www.tamarit.com.ar/image/productos/997784.jpg,https://www.tamarit.com.ar/image/productos/997784.jpg,VTH
7786,FUELLE,,FUELLE | fuelle caja direccion (izquierdo y derecho) renault megane - megane 2 - clio 2 -kangoo - scenic - master-2 2.5/2.8d-dt(02/..) - laguna,7701469486,,https://www.tamarit.com.ar/image/productos/997786.jpg,https://www.tamarit.com.ar/image/productos/997786.jpg,VTH
7787,FUELLE,,FUELLE | fuelle lado caja (palier grueso) renault 18 - trafic,7701464758,,https://www.tamarit.com.ar/image/productos/997787.jpg,https://www.tamarit.com.ar/image/productos/997787.jpg,VTH
7788,SOPORTE MOTOR,,SOPORTE MOTOR | soporte motor hidraulico derecho megane 2.0,7700832256,,https://www.tamarit.com.ar/image/productos/997788.jpg,https://www.tamarit.com.ar/image/productos/997788.jpg,VTH
7789,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | DEL | OEM . buje barra estabilizadora delantera renault fluence / megane iii diametro 21.,,,https://www.tamarit.com.ar/image/productos/997789.jpg,https://www.tamarit.com.ar/image/productos/997789.jpg,VTH
7790,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor izquierdo renault 19 - megane - scenic 1.6 2.0 diesel - clio 1.2 16 v,8200089697,,https://www.tamarit.com.ar/image/productos/997790.jpg,https://www.tamarit.com.ar/image/productos/997790.jpg,VTH
7801,SOPORTE DE MOTOR,1990 1994,SOPORTE DE MOTOR | soporte de motor 2.8 fiat ducato-1990/1994 - boxer-1990/1994,184361,,https://www.tamarit.com.ar/image/productos/997801.jpg,https://www.tamarit.com.ar/image/productos/997801.jpg,VTH
7802,SOPORTE,1990 1994,SOPORTE | soporte de caja velocidad 2.8 fiat ducato-1990/1994 - boxer-1990/1994,184398,,https://www.tamarit.com.ar/image/productos/997802.jpg,https://www.tamarit.com.ar/image/productos/997802.jpg,VTH
7803,BUJE,1995 2004 2005 2010,BUJE | DEL | buje elastico trasero parte delantera fiat ducato- 1995/2004 - boxer- 1995/2004 - ducato - 2005/2010 - boxer 2005/2010,1304641080,,https://www.tamarit.com.ar/image/productos/997803.jpg,https://www.tamarit.com.ar/image/productos/997803.jpg,VTH
