codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR63,RODAMIENTO,,Aplicaciones: FIAT IDEA,XGB 12132 S02,Ø int: 35 | Ø ext: 68 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,68,0,35,68,0,NO
RR102,RODAMIENTO,,Aplicaciones: FORD ECOSPORT 03> | FORD FIESTA 03> | FORD FOCUS 00> | FORD MONDEO 94>,F 125091 | 4RR122901 | 712187810,Ø int: 45 | Ø ext: 75 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,45,75,0,45,75,0,NO
RR45,RODAMIENTO,,Aplicaciones: FORD ECOSPORT 4X2 03> | FORD FIESTA 03>11 | FORD FOCUS 00>08,801023 AB | BTH-1206AB | 4RR801023 | PW29530037CSHD | R152.56 | 713678030 | 516007,Ø int: 29 | Ø ext: 53 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,29,53,37,29,53,37,NO
RCC69,RODAMIENTO,,Aplicaciones: FORD ESCORT 88>95 | FORD SIERRA 84>93,14687 | VKBA4687 | 4RR4687K,Ø int: 35.000 / 35.000 | Ø ext: 60.000 / 60.000 | Alt: 15.875 / 15.875 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT/EXT,35.000 / 35.000,60.000 / 60.000,15.875 / 15.875,,,,NO
RCC68,RODAMIENTO,,Aplicaciones: FORD ESCORT 96>03 | FORD FIESTA 94>02 | FORD KA 97> | FORD ORION 93>98 | VOLKSWAGEN POINTER 93>97,14533 | VKBA4533 | 4RR4533K,Ø int: 29.000 / 29.000 | Ø ext: 50.292 / 50.292 | Alt: 17.520 / 17.520 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,29.000 / 29.000,50.292 / 50.292,17.520 / 17.520,,,,NO
RCC52,RODAMIENTO,,Aplicaciones: FORD ESCORT 96>03 | FORD FIESTA 94>02 | FORD KA 97> | FORD ORION 93>98 | VOLKSWAGEN CADDY 98> | VOLKSWAGEN POINTER 93>97,BT1B 329013 Q | BT1B 329013 A/Q | 4RR329013 | 329013 | XC110240CG / L45410 | 572428,Ø int: 29 | Ø ext: 50.308 | Alt: 17.5 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,29,50.308,17.5,29,50,17,NO
RCC39,RODAMIENTO,,Aplicaciones: FORD F100 73>92 | FORD F1000 73>92 | FORD F150 73>92 | HYUNDAI ELANTRA 73>92 | HYUNDAI SCOUPE 73>92,29749/710 | LM29749/10 | SET 70,Ø int: 38.1 | Ø ext: 65.088 | Alt: 18.034 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,38.1,65.088,18.034,38,65,18,NO
RCC38,RODAMIENTO,,Aplicaciones: FORD F100 74>92 | FORD F150 86>92 | FORD FAIRLANE 70> | FORD FALCON 70>93 | FORD RANCHERO 70>93 | FORD RANGER 4X2 95>01 | MERCEDES BENZ CLASE C (202) 93>00 | MERCEDES BENZ CLASE E (124) 93> | MERCEDES BENZ CLASE E (S 210) 96>05 | MERCEDES BENZ CLASE E (W 210) 96>02 | MERCEDES BENZ CLK (208) 97> | VOLKSWAGEN TRANSPORTER 83>92 | VOLVO 240 82>93 | VOLVO 245 82>93,12749/710 | LM 12749/710/Q | 4RR12749710 | LM12749/10 | SET 12,Ø int: 22 | Ø ext: 45.237 | Alt: 15.494 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,EXT,22,45.237,15.494,22,45,15,NO
RCC2614,RODAMIENTO,,Aplicaciones: FORD F100 4X2 00> | FORD F100 4X4 99> | FORD F150 4X4 96> | FORD F250 75>92 | FORD F350 74>93 | FORD F4000 93> | HYUNDAI GALLOPER 95>03 | KIA GRAND SPORTAGE 98>03 | KIA SPORTAGE 93>03 | MITSUBISHI L200 4X4 92> | MITSUBISHI L300 4X4 90>02 | MITSUBISHI MONTERO 90> | TOYOTA 4 RUNNER 90> | TOYOTA LAND CRUSIER 90>00 | TOYOTA HILUX 92>05 | TOYOTA HILUX SW4 92>05,102949/910 | LM 102949-Q/LM10 | 4RR102949 | L102949/10 | R169.15 | SET 47,Ø int: 45.242 | Ø ext: 73.431 | Alt: 19.558 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,45.242,73.431,19.558,45,73,19,NO
RCC2608,RODAMIENTO,,Aplicaciones: FORD FALCON >98 | VOLVO 245 82>93,68149/110 | L 68149/110/Q | 4RR68149110 | CROSS TIMKEN,Ø int: 35 | Ø ext: 59.131 | Alt:  | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,35,59.131,,35,59,,NO
